Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Stärkegrad (0, 1, 2)	Begründung
Beispiele						
	Bei Beobach-	Metapher	das Horoskop stellen	einer Nation	2	Horoskop stellen - bezogen auf Nationen ist das ein Bruch (und eine interessante, nur durch Nachdenken zu 'reparierende' und damit in ihrem Witz verstehbare Vorstellung)
	"tung solchen moralischen Wertes kann man das Horoskop einer Nation am besten stellen."""					
						
	Die Zellen verschmelzen miteinander.	nein				Fachausdruck
						
	Diese wolle die bittere Auslese, ohne die auch dem	Metapher	bittere	Auslese	1	"Unauffällig, aber doch metaphorisch: Dass eine Auslese ""bitter"" sein soll...? Schon ein Bruch, der aufmerken lässt. Soweit ich sehe, nichts Eingeführtes, also keine Floskel."
	Menschen kein Fortschritt möglich sei, einschränken.					
						
Ruppin 0-29						
	Wenn es dem Verfasser gelungen ist, ein gesichertes Fundament und	Metapher	den vollendeten Bau	wissenschaftlich gesicherten Ergebnissen	B	"auffällig ist nur der vollendete Bau, aus ""wissenschaftlich gesichterten Ergebnissen"", Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft"
	die ersten Pfeiler für die Lösung der hier zur Bearbeitung gestellten Auf-					
	gabe zu legen, so ist seine Absicht erreicht; den vollendeten Bau wird					
	nach seiner Überzeugung erst eine spätere Generation errichten können, wenn					
	die heutigen fragmentarischen und unfertigen Hypothesen über die Beziehungen					
	zwischen den anthropologischen Eigentümlichkeiten der Völker und ihrer ge-					
	schichtlichen Bedeutung zu wissenschaftlich gesicherten Ergebnissen geworden					
	sein werden.					
						
	In Californien ist ebenso die früher dort heimische weiße Ratte von der zu	nein				ich sehe nichts auffälliges
	Schiffe eingeführten schwarzen Ratte völlig vertilgt worden. In den Ver-					
	einigten Staaten vertrieb eine Schwalbenart gänzlich eine andere, und die					
	Vermehrung der sogen. Misteldrosseln in England hat die Abnahme der					
	Singdrosseln zur Folge gehabt.					
						
	Die Fragen, welche heute auf staatlichem und gesellschaftlichem Gebiete	nein				
	ihrer Beantwortung harren und in der folgenden Arbeit berührt werden,					
	sind größtenteils Fragen von grundlegender Bedeutung, an denen sich Jahr-					
	hunderte und Jahrtausende abgemüht haben.					
						
	So verlockend es nun mit-					
	unter gewesen wäre, diese Fragen mit den Mitteln aus dem reich aus-	nein				Floskel
	gestatteten Arsenale der Volkswirtschaftspolitik zu beantworten und dadurch					
	der Arbeit überall einen befriedigenden Abschluß zu geben, so schien es doch					
	das richtigere, hiervon keinen oder nur ganz beschränkten Gebrauch zu					
	machen.					
						
	Man kann vielmehr in das Getriebe des gesell-	Metapher	Getriebe; Leuchte	des gesellschaftlichen Lebens; der Wissenschaft	A, B	wenig metaporisch; Getriebe grenz aber an Floskel, dennoch Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft. Die Leuchte der Wissenschaft ist auffällig, ist nicht so langweilig wie die normale Licht-Floskel, somit Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	schaftlichen Lebens nur dann mit der Leuchte der Wissenschaft hineinkommen,					
	wenn man die teleologische, d. h. die Erscheinungen unter dem Gesichts-					
	punkte von Mittel und Zweck ordnende Betrachtungsweise zu Hilfe nimmt.					
						
	Nachdem wir bisher negativ feststellen mußten, inwiefern Naturwissen-	Grenzfall	im Brennpunkt vereinigen	alle Wissenschaften	A	"ein bisschen auffällig durch ""vereinigen"". Brennpunkt allein ist nein. Bruch ist da, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft"
	schaft und Sozialwissenschaft keine Gemeinsamkeit miteinander haben, kommen					
	wir nun zu der Aufgabe zu zeigen, inwiefern sie doch ineinander greifen,					
	weil alle Wissenschaften sich schließlich in ihrem Ziele, der Förderung der					
	menschlichen Wohlfahrt, wie in einem Brennpunkte vereinigen.					
						
	Wohlfahrt hätte, wäre ein absurdum. Dies kommt uns nur deshalb nicht	Metapher	lückenlos umspannen 	Interesse	C	"das Interesse ""umspannen"" ist auffällig, somit Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft"
	so leicht zum Bewußtsein, weil des Menschen Interessen heute fast die ganze					
	Außenwelt lückenlos umspannen und kaum noch ein Gebiet vorhanden ist,					
	das nicht zum Menschen in mittelbarer oder unmittelbarer Beziehung steht.					
						
	Die ganze Außenwelt gruppiert sich konzentrisch um den Menschen in der	Metapher	Licht (Doppelfokus mit Dunkel)	Gebiete	B	in Kombination mit dem Dunkel finde ich es durchaus metaphorisch, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	Weise, daß diejenigen Gebiete, die zur menschlichen Wohlfahrt die engste					
	Beziehung haben, dem Menschen am nächsten stehen und vom Lichte seiner					
	Vernunft am intensivsten beleuchtet werden, während das Licht nach außen					
	zu immer schwächer wird und die entferntesten Gebiete beinah ganz im					
	Dunklen bleiben.					
						
	Der Mensch hat zwar theoretisch gelernt sich als einen	Metapher	Stamm	der organischen Welt	B	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	Zweig wie tausend andere Zweige am Stamme der organischen Welt zu					
	betrachten und sich eine verhältnismäßig bescheidene Rolle im Kosmos an-					
	zuweisen. Aber praktisch stellt er sich in den Mittelpunkt der Welt					
	und beurteilt und wertet alle Erscheinungen nur nach dem Nutzen, den					
	sie dem Menschen bringen.					
						
	Er leuchtet nur in diejenigen Erscheinungen	Metapher	leuchtet, mit Licht, hinein	Vernunft	B	mit dem Licht in etwas hinein leichten ist auch wieder kreativ, somit Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	mit dem Lichte seiner Vernunft hinein, von deren Kenntnis er Förderung					
	der menschlichen Wohlfahrt erwartet.					
						
	Eine Gesetz-	nein				
	gebung, welche die natürlichen Grundlagen mißachten, z. B. alle Staats-					
	angehörigen ohne Rücksicht auf Beanlagung, Alter und körperliche Konstitution					
	in genau der gleichen Weise behandeln würde, würde ihre Kräfte nutzlos					
	vergeuden und zu Grunde gehen.					
						
	Viel Streit hat sich über die Frage erhoben, durch welche Umstände	nein				
	sich der gesellig lebende Mensch aus der Tierheit aufgeschwungen und de					
	facto zum Herrscher über alle anderen Tiere gemacht hat.					
						
	Das Gebiet	Metapher	Gang, zur Seite stehen	der menschlichen Entwickelung, Ethnologie und Geschichte	B. B	Der Gang einer Entwicklung - auffällig, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft. Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	positiven Wissens über den Gang der menschlichen Entwickelung beginnt					
	aber erst da, wo uns Ethnologie und Geschichte zur Seite stehen.					
						
	Nur soweit ein Bedürfnis gebieterisch Befriedigung	Metapher	gebieterisch	Befriedigung	A	Gebieterische Befriedigung - nur wenig auffällig, aber metaphorisch, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	verlangt, existiert eine organisierte menschliche Tätigkeit und nur auf diesem					
	Gebiete existiert ein Fortschritt, eine geschichtliche Entwickelung.					
						
	Wem es eine Erklärung dünkt, diesen Trieb aus Nützlichkeits-	nein				Floksel
	gründen, etwa zum besseren Schutz gegen tierische und menschliche Feinde					
	oder zur besseren Beschaffung der Existenzmittel oder wie sonst immer zu					
	erklären, dem steht dies frei, weil hier alles Wissen aufhört und das Gebiet					
	der Vermutungen beginnt. Wir müssen uns an dieser Stelle damit be-					
	gnügen, das Vorhandensein dieses sozialen Triebes als gegeben hinzunehmen.					
						
	»Unter der ausschließlichen Herrschaft des Rechts	Metapher	Auflösung entgegen gehen	Volksstamm	B	"Das ""entgegen gehen"" macht es auffälliger, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft"
	des Stärkeren«, sagt Tylor3), würde ein Volksstamm in kurzer Zeit seiner					
	Auflösung entgegen gehen«. Es ergibt sich hieraus, daß ein Zusammenleben					
	in einer Gemeinschaft stets gewisse Regeln oder Gebräuche voraussetzt, kraft					
	deren den einzelnen Hordengenossen gewisse Schranken ihrer Tätigkeit gesetzt					
	werden.					
						
	Eine weitere Folge der	Metapher	verwebt	göttliches Recht mit der Religion 	B	Recht ist verwebt, auffällig, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	Entwickelung ist, daß das Recht, eine Zeit lang als göttliches Recht mit der					
	Religion verwebt, aus seinem Zusammenhang mit der Religion losgelöst, die					
	Rechtsprechung den Priestern entwunden wurde und weltlichen Organen zu-					
	fiel.					
						
	Die Folge ist, daß	nein				"Bruch ist da, aber das ""Beherbergen von Nationalitäten"" klingt eher blumig"
	selbst diejenigen Staaten, die heute keine offenbar verschiedenen Nationalitäten					
	mehr beherbergen, aus der Zusammenschweißung zahlreicher Stämme verschiedener					
	Nationalität und oft sogar verschiedener Rasse hervorgegangen sind, die					
	erst allmählich durch das territoriale Zusammenleben und gegenseitige					
	Kreuzung das Gefühl ihrer ursprünglichen Verschiedenheit verloren haben.					
						
	Die Nationalitätenkämpfe des	nein				
	19. Jahrhunderts (Polen in Preußen und Rußland, Ezechen in Östereich)					
	beweisen, daß das Gefühl, welches den Menschen in erster Linie zu den ihm					
	in Sitte, Sprache, körperlicher Organisation und Bedürfnissen möglichst ähn-					
	lichen Menschen hinzieht und ihn von dem anders gearteten Menschen zurück-					
	stößt, noch nicht erloschen ist.					
						
	Der Geist der alten Horde (gens) protestiert	nein				nichts metaphorisches
	gegen das Territorialitätsprinzip des modernen Staates.					
						
	Sobald aber eine	nein	ausgemerzt			bildhaft
	Erscheinung im gesellschaftlichen Leben selten ist, steht sie in Gefahr, von der					
	Sitte ganz ausgemerzt zu werden.					
						
	Die Sitte approbiert nämlich immer nur	nein				nichts metaphorisches
	die regelmäßig sich wiederholenden Erscheinungen und reprobiert die seltenen					
	- d. h. der Regel widersprechenden — Erscheinungen Aus diesem Grunde					
	sind die Ehen zwischen Personen, die sehr verschiedenen Alters sind, von					
	der Sitte gemißbilligt und allmählich verhindert worden.					
						
	Indem das Verhältnis durch die Sitte be-	nein				nichts metaphorisches
	festigt wurde, entstand die Exogamie, d. h. der Gebrauch, daß die Frauen					
	nicht an Mitglieder ihres eigenen Stammes, die sich vielmehr ihre Frauen durch					
	eigene Kraft, insbesondere durch Raub von fremden Stämmen, zu beschaffen hatten,					
	sondern nur an Mitglieder fremder Stämme verheiratet werden durften.					
						
	In dieser Form finden	Metapher	überallhin verpflanzt	christliche Kirche	B	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	wir Eheverbote bei den Römern und Juden, und sie sind dann von hier					
	aus besonders durch die christliche Kirche überallhin verpflanzt worden, so-					
	daß jetzt neben den Eheverboten für Angehörige verschiedener Generationen					
	(Eltern und Kinder, Oheim und Neffe, Tante und Nichte) auch Eheverbote					
	für Seitenverwandte bestehen, die derselben Generation angehören.					
						
	Als vierten Trieb möchten wir das Kausalitätsbedürfnis nennen, das	Metapher	Werkstatt	Der Natur	A	nicht sehr spannend, aber dennoch metaphorisch auffällig, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	den Menschen antreibt die Ursachen der Erscheinungen zu erforschen und ihn					
	befähigt hat, in die Werkstatt der Natur einzudringen.					
						
	Die Religion hat ihre größte	Metapher	durchtränkt 	von der Religion	B	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	Macht auf den niedersten Kulturstufen, weil hier das ganze gesellschaftliche					
	Leben von der Religion durchtränkt ist.					
						
	Mühsam und Schritt	Metapher	Wiege	alten Kulturreichen		
	für Schritt hat die Wissenschaft, deren Wiege in eben denselben alten Kultur-					
	reichen stand, die zuerst dem Fetischismus entgegentraten, der Religion den					
	Boden abringen müssen, und die Grenzen sind noch heute in fortwährendem					
	Flusse begriffen.					
						
	In demselben Moment, in dem die wissenschaftliche Er-	Metapher	den Zauber der Dunkelheit	nimmt	B	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	kenntnis der Natur den Erscheinungen den Zauber der Dunkelheit nimmt					
	und sie uns auf natürliche Weise begreiflich macht, hört diese Erscheinung					
	auf, ein religiöses Objekt zu sein.					
						
	Die Religion hat in	Metapher	Eroberungen (Doppelfokus)	der Wissenschaft 	B	"eine ""noch nicht abgeschlossene Eroberung der Wissenschaft"" ist auffällig. Ohne ""abgeschlossen"" nicht so auffällig, dannn wäre es eher floskelhaft, Bruch ist da, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft"
	diesem Kampfe viel Terrain verloren, aber es scheint, als ob die Eroberungen					
	der Wissenschaft noch nicht abgeschlossen sind.					
						
30-59	Ohne solche Regeln würde	Metapher	in Atome zersplittern	Gesellschaft	C	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	die Gesellschaft immer wieder in Atome zersplittern oder die Einzelnen					
	wurden, selbst wenn sie örtlich zusammenblieben, doch jeder für sich isoliert					
	sein und mit den anderen in keinerlei Beziehungen stehen - ein Zustand,					
	der eben zwar ein räumliches, aber kein gesellschaftliches Zusammenleben					
	von Menschen sein würde.					
						
	Aber noch ist die Zeit nicht gekommen, zu verlangen, daß	Metapher	Schranken eingerissen	nationalstaatlichen	B	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft oder vielleicht doch bildhaft??
	nunmehr die nationalstaatlichen Schranken überhaupt eingerissen werden müßten.					
	Die Nationen sind noch Realitäten, und die Verschiedenheit ihrer Bedürfnisse					
	und ihres Rechtsgefühls, sowie die Abneigung und Fremdheit der Angehörigen					
	verschiedener Nationen ist auch eine Realität.					
						
	Es ist kein Zufall, daß alle Versuche, ein Weltreich zu gründen und	nein				
	verschiedene Nationen zusammenzuschweißen, gescheitert sind.					
						
	Die zahlreichen Streitfragen des Tages, die meist ganz abgetrennt von	Metapher	richtige Beleuchtung	gewinnen	B	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	dem Zusammenhange mit dem Ganzen des sozialen Lebens behandelt werden					
	und deshalb durch Anknüpfung an einzelne Schlagwörter kritisiert werden					
	müssen, gewinnen erst ihre richtige Beleuchtung, wenn sie zu dem Ziele der					
	sozialen Tätigkeit, der Förderung des gesellschaftlichen Zusammenlebens, in					
	Beziehung gesetzt werden.					
						
	Nietzsche hegt einen brennenden Haß gegen den Staat, d. h. den Träger	Metapher	brennenden	Haß	A	bisschen floskelhaft, aber metaphorisch. Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	der rechtlichen Zwangsgewalt, in dem er den Beschützer und Züchter aller					
	mittelmäßigen und den Vernichter und Feind aller großen, genialen Indi-					
	viduen erblickt.					
						
	Angriffe gegen den Staat sind schließlich auch von denjenigen erhoben	Metapher	gipfelnde	Gesellschaftsleben	B	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	worden, welche das im modernen Staat gipfelnde Gesellschaftsleben für ein					
	der Menschheit verderbliches Kunstprodukt halten und demgegenüber die					
	Rückkehr zur Natur fordern — ein Gedanke, der bekanntlich in Rousseau					
	seinen glänzendsten Vertreter hatte.					
						
	Will die Gesellschaft die natürliche Auslese befördern,	Metapher	spannen	Ziele	A	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	so muß sie auch ihr alleiniges Ziel, die Vernichtung der schwachen Indi-					
	viduen, befördern wollen, weil die natürliche Auslese nur dieses einzige Ziel					
	hat und sich in den Dienst keines anderen Zieles spannen läßt.					
						
	Wir sind hiermit insoweit ganz einverstanden, als	Metapher	ausjäten	Macht der natürlichen Auslese	B	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	wir zugeben, daß die organischen Gebilde durch die Macht der natürlichen					
	Auslese, welche alles unzweckmäßige ausjätet, sicherlich so zweckmäßig als					
	möglich organisiert sind.					
						
	Nun liegt der Einwand nahe, daß die Bedingungen unserer Existenz	nein				bildhaft
	auf diese Weise immer komplizierter und künstlicher werden und die Gefahr					
	nahe bringen, daß die Nichtachtung der in der Natur herrschenden Gesetze					
	der natürlichen Auslese und der natürlichen Anpassung sich eines Tages					
	nicht mehr durch künstliche Mittel neutralisieren läßt und das ganze künst-					
	liche Gebäude in sich zusammenstürzt.					
						
	Die Menschheit	nein				bildhaft
	hat durch die hochentwickelte Technik und ihre kunstvolle soziale Organisation					
	ihre Abhängigkeit von der Natur bedeutend verringert; sie schwebt aber dafür					
	auch in der den Tieren unbekannten Gefahr auf Klippen, genannt Ver-					
	letzung der biologischen Gesetze, zu stoßen und dadurch die Fundamente					
	ihres stolzen sozialen Baues zu unterminieren.					
						
	Steigt man aber aus der Welt des Gedankens in die Welt der Wirklichkeit	Metapher	blasse	Schemen	B	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	hinab, so ergibt sich sofort, daß Gesellschaft und Staat Blut und Leben nur					
	erhalten durch die in ihnen lebenden Menschen, daß diese Menschen die					
	Träger alles Fortschritts sind und alle Ziele und Ideale blasse Schemen					
	bleiben, wenn sie nicht dem Wesen dieser Menschen, ihren Trieben und					
	ihrer Fassungsgabe, kurz ihren physischen und psychischen Eigenschaften an-					
	gepaßt sind.					
						
	Aber zwischen dem Punkte, wo uns das Mikroskop bei	Metapher	klafft	eine weite Lücke	B	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	der Verfolgung des Befruchtungsvorganges im Stiche läßt — und es läßt					
	uns, da es uns nur über den äußeren Vorgang der Kopulation zweier					
	Keimzellen Ausschluß zu geben vermag, sehr bald im Stich — und dem					
	Punkte, wo die Eigenschaften der Eltern am neuen Individuum hervortreten					
	und uns die Wirkung der Vererbung zeigen, klafft eine weite Lücke, die im					
	Laufe der letzten Jahrzehnte mit Vermutungen über Vermutungen, Theorieen					
	über Theorieen auszufüllen versucht worden ist.					
						
	Sicherlich ist durch die	Metapher	Zickzackwege	der Forschung	C	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	vereinigte Arbeit vieler Forscher bedeutendes zur Aufklärung dieses geheimnis-					
	vollen und reizvollen Problems geschehen; daß wir aber heute bereits vor					
	einer gesicherten Lösung desselben stehen, wird niemand zu behaupten					
	wagen, der die Zickzackwege der Forschung auf diesem Gebiete in letzter Zeit					
	verfolgt hat.					
						
	Man sieht, daß wir auch durch diese weitgehende Aufhellung des Be-	nein	Aufhellung	des Befruchtungsvorganges		Licht werfen, aufhellen, alles floskelhaft
	fruchtungsvorganges der Lösung des eigentlichen Vererbungsproblems nur					
	unbedeutend näher gerückt sind.					
						
	»Diese gemmules«, sagt Darwin2), »sammeln	Metapher	bildet ein neues Wesen	Entwicklung	C	nicht sicher mit dem Rahmen, oder was es aussagen soll, aber Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	sich aus allen Teilen des Körpers, um die Geschlechtsstoffe« (sc. Keimzellen)					
	»zusammenzusetzen und ihre Entwicklung in der nächsten Generation bildet ein					
	neues Wesen; aber sie sind gleicherweise auch fähig, in einem schlummernden					
	Zustande an künftige Generationen überliefert und dann erst entwickelt zu					
	werden.					
						
	Hierdurch wird nämlich zwar nicht die	Metapher	Stempel aufdrückt	Verschmelzung der väterlichen und mütterlichen Keimzelle	B	nicht sicher mit dem Rahmen, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	Struktur (oder Architektur) der Keimzelle, wohl aber ihre Lebensenergie					
	beeinflußt, und da das Maß dieser Lebensenergie dann wieder bei der					
	Verschmelzung der väterlichen und mütterlichen Keimzelle für die Frage von					
	Einfluß ist, welche von beiden dem neuen Individuum in höherem Maße					
	ihren Stempel aufdrückt, so kommt auch manchen äußeren Umständen					
	(nämlich denen, welche wie z. B. Syphilis, Alkoholismus eine erhebliche					
	Störung im ganzen Organismus und eine Ernährungsstörung der Keim-					
	zellen zur Folge haben) indirekt ein Einfluß auf die Vererbung zu.					
						
						
S. 60-89						
	Vielleicht ist auch ein Teil der Totge-	nein				
	burten auf das Konto eines solchen Anlasses zu schreiben.					
						
	»Es ist nun noch daran zu er-	Metapher	unerschöpfliche Musterkarte	neue Kombinationen	B	Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	innern, daß vermöge der Gesetze der Vererbung und der Amphimixis (d. i.					
	der Verschmelzung der väterlichen und mütterlichen Keimzelle bei der ge-					
	schlechtlichen Fortpflanzung) in jedem Kinde der nämlichen Eltern wieder					
	neue Kombinationen entstehen und dadurch eine fast unerschöpfliche Muster-					
	karte für die natürliche Auslese dargeboten wird.					
						
	Da nun bei der Verschmelzung beider Keimzellen gewisser-	nein				"wegen ""gewissermaßen"" finde ich es nicht mehr so metaphorisch"
	maßen ein Kampf vor sich geht, bei dem je nach dem Maße der Lebens-					
	energie bald die väterliche, bald die mütterliche Keimzelle stärker ist, so					
	kommen in dem Kinde dann hauptsächlich die Eigenschaften der stärkeren					
	Zelle zum Vorschein.					
						
	Nicht diejenigen geistigen Eigenschaften sind vererblich, die sich der	nein 	schlummernden	Anlagen		kein Bruch
	Einzelne im Laufe seines Lebens, dem Drucke äußerer Umstände gehorchend,					
	ohne Rücksicht auf seine natürliche Beanlagung angeeignet hat, sondern nur					
	diejenigen, zu deren Erwerbung er kraft der in ihm schlummernden Anlagen					
	prädestiniert war.					
						
	Alle diese Erscheinungen, in denen pseudoverwandtschaftliche Verhält-	nein				nichts zu erkennen
	nisse wie die Fälle echter physiologischer Verwandtschaft behandelt werden,					
	sind ein klassisches Beispiel dafür, wie eine Sitte oft über ihr ursprüng-					
	liches Gebiet hinausgreift und auch Verhältnisse in ihren Kreis zieht, die					
	mit ihrem ursprünglichen Geltungsgebiete nur durch grobe Analogieen in					
	Zusammenhang zu bringen sind.					
						
	Die jüdischen	Metapher	Zaun um das Gesetz	Ausdehnung jener Ge- und Verbote Handlungen zu gebieten oder verbieten	B	Der Zaun um ein Gesetz, das ausgedehnt werden kann - auffällig, Bruch, neuer semantischer Kontext, unersetzbar, sprachlich irregulär verknüpft
	Talmudgelehrten begnügten sich nicht damit, die Beobachtung der ausge-					
	dehnten Speisegesetze und sonstigen Ritualien zu fordern sondern bemühten					
	sich durch immer weitere Ausdehnung jener Ge- und Verbote »einen Zaun					
	um das Gesetz zu machen«, d. h. selbst solche Handlungen zu gebieten oder					
