Abschnitt	Stelle	Metapher? 	Fokus	Rahmen	Semantikerweiterung?	Unersetzlich?	sprachlich irregulär?	pointiert?	Stärkegrad (Á, B, C)	Begründung/Kommentar
	Macht Schritt für Schritt, aber sicher, nach Norden verschoben, in jene									
	rauhen Gegenden, wo der Mensch für die Rivalität des Daseins im harten									
	Kampf mit der Natur „erzogen“ wurde.									
										
191-220										
	Erst wenn das alte Kleid der Gesellschafsverfassung zu eng wird, sinnt man	nein								
	auf technische und Verkehrsfortschritte, entstehen die Impulse zu moralischen und geistigen									
	Fortschritten, die verbesserten Institutionen									
										
	Denn er hat nicht nur, wie häufig irrtümlich	x	seinen Stempel aufgedrückt	Anschauungen und Gefühle des Volkes	x	x	x	x	B	
	angenommen wird, auf die gebildeten Klassen eingewirkt, sondern den An-									
	schauungen und Gefühlen des ganzen Volkes seinen Stempel aufgedrückt									
										
	Das fällt schwer in	nein								
	die generative Wagschale, da, wie dargelegt, Kriege aus den höheren Kultur-									
	stufen der Auslese eine direkt umgekehrte Richtung geben.									
										
	Es geht	nein								
	ein Zug von Barmherzigkeit durch die Einrichtungen dieser Völker.									
										
	Die hohe Wertschätzung welche die (wegen der allzugroßen Zahl der Schrift-	x	entzog Licht und Sonne	anderen Wissenszweigen	x	x	x	x	A	Licht-Metapher eigentlich floskelhaft bis A
	zeichen nicht leicht zu erwerbende) Kenntnis dieser Weisheitsschätze stets									
	genoß, entzog anderen Wissenszweigen Licht und Sonne.									
										
	Neben dem Kaiser und seinen Mandarinen bestand von alters her eine Auf-	nein								
	"sichtsbehörde (Kotao), eine Art von Zensoren, die als ""das Gewissen des"									
	"Staates"" darauf zu sehen hatten, daß im Sinn der alten Gesetze regiert"									
	werde; sie sind dem Kaiser und seinen Räten gegenüber die Vertreter der									
	Staatsidee als Beschützer der Gesetze geehrt vom Volk und gefürchtet von									
	den Beamten.									
										
	Aber dürfen wir vergessen, wie es noch,	nein								
	nicht vor einigen, sondern vor kaum einem Jahrhundert in Europa aussah, welche Höhlen des									
	Elends nicht nur die Gefängnisse für Verbrecher, sondern auch die Schuldgefängnisse und die									
	Hospitäler waren, daß die Tortur in ihren schlimmsten Formen gesetzliche (in China nur									
	faktische und strafbare) Anwendung fand, und daß die von europäischen Richtern ver-									
	hängten Todesstrafen an Entsetzlichkeit alles hinter sich ließen, was die Chinesen je erfunden?									
										
	Ihre Kulturentwicklung zeigte allerdings niemals eine so rasche	x	zeigt eine rasche Gangart	Kulturentwicklung	x	x	x		A	
	Gangart, wie die unserige in den letzten 800 Jahren, seit Beginn der Kreuz-									
	züge, sie stand aber auch nie völlig still und wurde deshalb nicht unpassend									
	mit dem langsamen Fließen eines tiefen und breiten Stromes in ebenem									
	Bette verglichen.									
										
	Diesem steht in der Theorie das Reich des Instinktes gegenüber,	nein	Reich	des Instinktes						nochmal nachschauen
	in welchem alles Tun auf ererbten Trieben beruht.									
										
	Doch sind die Grenzen	nein								
	beider Reiche, die zusammen das Forschungsgebiet der Ethik bilden, im									
	einzelnen nicht genau bestimmbar, und die sozialen Anlagen des									
	Menschen, die vielfach der Erziehung bedürfen, um so wirksam zu werden,									
	wie es bei den anderen Instinkten spontan der Fall ist, gehören, wenn									
	sie ausgebildet sind, beiden Reichen an.									
										
	Denn das Spiel der natürlichen sozialen Zucht-	nein	das Spiel	der sozialen Zuchtwahl						"""Spiel der …"" sagt man oft"
	wahl ist nicht nur ein Vervollkommnungsapparat, sondern									
	auch ein Gericht, das einzige empirisch erkennbare Stück									
	einer sittlichen Weltordnung, die das Vollkommene empor-									
	"hebt und das Verkommene vernichtet"" 1)."									
										
										
S. 221-250										
	"""Immer noch wird"	nein								
	durch die protestantische Lehre jener Grundirrtum fortgepflanzt, daß es nur auf den									
	Glauben ankomme, und daß aus dem Glauben die Werke notwendig folgen müssen.									
										
	Die erste Aufgabe, welche die Natur dem Individuum gestellt hat, und	nein								
	die sie uns durch eingepflanzte Instinkte verkündet, ist die Selbsterhaltung;									
										
	Vor dem Richterstuhl unserer Empfindung ist	nein								
	also Schmerz das einzige Übel, Lust das einzige Gut.									
										
	Und so gelangt der Verstand schließlich	nein								
	zu der Erkenntnis, daß Lust- und Unlustempfindungen nur eine									
	dienende Stellung in unserer leiblichen und seelischen Organi-									
	sation einnehmen, daß sie nichts als wohldressierte Diener der individuellen									
	Selbsterhaltung und beredte Agenten der Fortpflanzung sind, oder mit									
	nüchternen Worten, er erkennt, daß sie als automatische Regulatoren									
	für die verschiedenen Funktionen, die ihrerseits der Erhaltung									
	der Individuen und der Gattung dienen, in die lebendige									
	Maschinerie unseres Leibes eingesetzt sind.									
										
	Es frägt sich nur, ob dieses Produkt	nein								
	künstlicher Züchtung vor dem Richterstuhl der natürlichen Auslese bestehen									
	könnte.									
										
	Aber unsere Kurzsichtigkeit gestattet uns nur, die Richtung zu erkennen,	nein								
	welche die Entwicklungsgeschichte während der für uns einigermaßen über-									
	sehbaren Periode genommen hat, und infolge dieser Orientierung vermögen									
	wir — unter der eigentlich nicht ganz selbstverständlichen Voraussetzung, daß									
	diese Richtung andauern werde — höchstens die nächsten Ziele zu sehen,									
	soweit sie nämlich noch innerhalb unserer geistigen Sehweite und innerhalb									
	des durch unseren organischen Standpunkt bestimmten Horizontes liegen.									
										
	"Dazu verhelfe dir der Garten der Ehe!"""	nein	der Ehe	Garten						man weiß nicht, was dieser Garten nun wirklich ist
										
S. 251-280										
	Bergab geht es bei der genera-	nein								
	tiven Entwicklung allerdings nicht ganz so langsam wie bergauf.									
										
	So dilettantenhafte Vorschläge für eine positive menschliche Zuchtwahl,	nein								
	die alle Schwierigkeiten durch bloßes Ignorieren wegzaubern, sind nur									
	geeignet, den Widerstand seitens der heute herrschenden Anschauungen zu									
	vergrößern, der überwunden werden muß, ehe jene Verbesserungen der mensch-									
	lichen Zuchtwahl verwirklicht werden können, welche im Ernst allein in									
	Betracht kommen.									
										
	So groß, wie manche himmelstürmerische Geister anzunehmen geneigt	nein								
	sind, die nur auf das Ziel ihrer Ideale und nicht auf den Weg und seine									
	Hindernisse sehen, ist die mögliche Geschwindigkeit des Fortschreitens auch									
	auf dem Gebiet der Traditionswerte nicht.									
										
	Die schönste Theorie ist fehlerhaft, wenn sie nicht eine tatsäch-	x	Brücke	zur Verwirklichung	x	x	x	x	B	
	lich gangbare Brücke zur Verwirklichung aufweist oder herstellt.									
										
	Die öffentliche Meinung ist also zum weitaus größten Teil in festen	nein								
	Händen, beinahe so wie die politische und wirtschaftliche Macht.									
										
	Die Aristokratie aber, welche die Klinke	x	Klinke	der Gesetzgebung	x	x	x	x	B	
	der Gesetzgebung in der Hand hatte, benützte sie, um Gesetze zu erlassen,									
	die in schneidendem Widerspruch zu den Interessen der Mehrheit standen									
	und nur ihren Sonderinteressen dienten.									
										
	Ebenso ließen sich in dem industriereichen Belgien die herrschenden Bour-	nein								Ruder nein
	goisparteien, nämlich die sogenannten Liberalen und die sogenannte katholische									
	Partei, die abwechselnd am Ruder waren, erst vor ca. einem Vierteljahrhundert,									
	nachdem gefährliche revolutionäre Bestrebungen beinahe die Oberhand erlangt									
	hatten, dazu herbei, das formelle Verfassungsrecht einigermaßen den tat-									
	sächlichen Verhältnissen anzupassen, und von da erst datieren alle die wirt-									
	schaftlichen Reformen, die neuerdings auch in Belgien eingetreten sind und									
	die vorher vergeblich verlangt worden waren3).									
										
	Die dritte Klasse, der Kern eines jeden Volkes, stellt die Trägheit der	nein	Trägheit	der Materie						was soll das genau sein ??
	Materie dar.									
										
	Napoleon I. war 27 Jahre alt, als er 1796 im Feldzug gegen Italien sein	nein								
	Feldherrngenie im strahlendsten Lichte zeigte und der Kriegskunst neue									
	Bahnen wies.									
										
	Er hatte eine allzu	nein								
	mangelhafte Kenntnis des Terrains, aus dem er operierte, und anstatt seine									
	Wege diesem anzupassen, mutete er den tatsächlichen Verhältnissen zu, sich									
	seinen Plänen anzupassen.									
										
S. 281-317										
	Was den ersten Satz anlangt, so mögen die Fäden, welche die Ver-	x	Fäden vernüpfen	Vergangenheit mit der Gegenwart	x	x	x	x	B	
	gangenheit mit der Gegenwart verknüpfen, unlöslich sein, jedenfalls aber									
	"können sie glücklicherweise nötigenfalls durchschnitten werden; sonst ""erben"									
	"sich Gesetz' und Rechte wie eine ewige Krankheit fort."""									
										
	Auch der Gesetzgeber, der neue	nein								
	Bahnen eröffnen will, muß originell, d. h. mit weisem Vorbedacht									
	"unhistorisch sein."""									
										
	Neue	nein								
	Interessen untergraben das alte Rechtsbewußtsein oder Rechts-									
	gefühl, und wenn die neuen Interessen das Übergewicht erlangt									
	haben, so wiegt auch ihr Rechtsgefühl schwerer als das der alten,									
	und überwindet dessen Widerstand.									
										
	[…] und wie es darum zu jener Zeit, als die Anatomie und	nein								
	Pathologie des menschlichen Körpers noch auf tiefer Stufe standen, mit									
	Recht im allgemeinen für unheilvoll und unstatthaft galt, solche operative									
	Eingriffe zu machen, die eine gewaltige Störung in dem lebendigen Maschinen-									
	werk hervorrufen mußten […]									
										
	Er [der Grundsatz] ist auf geschichtlichem Boden erwachsen und	nein								
	verlangt also, um auf die Gegenwart und Zukunft anwendbar zu sein, die									
	zum Teil sehr schwierige, zum Teil geradezu unmögliche Abwägung der ver-									
	änderten Verhältnisse.									
										
	"""Der politische Körper verwendet in beiden Fällen seine meiste"	nein								Auf was ist Zähne und Krallen bezogen?
	"Kraft auf die Zunahme von Zähnen und Krallen."""									
										
	In Wirklichkeit sind die	nein								
	Argumente, die dieser einst so tiefgründige Autor gegen die Wehrsteuer vorbringt, objektiv									
	so spinnwebartig schwach und logisch so hinfällig, daß sie beinahe mehr für das Problem der									
	physiopsychologischen Individualentwicklung als für die Frage der Wehrsteuer bemerkenswert									
	sind.									
										
	Glücklicherweise hängt	nein								
	jedoch das sittliche Verhalten im großen und ganzen — besondere Fälle sind									
	freilich auszunehmen — viel weniger von der logischen Begründung unserer									
	sittlichen Anschauungen ab, mag diese Begründung eine religiöse oder eine									
	philosophische sein, als vielmehr von Gewohnheit, Beispiel und den im									
	Wirkungskreise, besonders unter den Standesgenossen, herrschenden Ehr-									
	begriffen, die sich durch die konservative Macht der Tradition auch dann									
	noch aufrecht erhalten lassen — allerdings nicht ohne allmähliches Ab-									
	bröckeln — wenn die sittlichen Grundanschauungen eines Teils, ja selbst des									
	größeren Teils, der Standesgenossen ihnen keine weitere Stütze zu gewähren									
	vermöchten.									
										
	"""Solange das Menschengeschlecht seinen Zerstörern größere Bewun-"	nein								
	derung zollen wird als seinen Wohltätern, muß auch der Durst									
	nach Kriegsruhm stets den Fehler der erhabensten Charaktere									
	"bilden"","									
										
	Nur aus ihrer [der sozialen Ideen und Reformen] Ver-	x	Vermählung	[der sozialen Ideen und Reformen]	x	x	x	x	B	2 Rahmen für einen Fokus
	mählung mit dem sozialen Sinn einer Gesellschaft können lebensfähige soziale			mit dem sozialen Sinn einer Gesellschaft						
	Neugestaltungen entstehen.									
										
										
311-340										
	"""Mit je weiterem Blick wir die Stoffwelt zu überschauen lernen, je klarer wir das"	nein								
	wirkliche Verhältnis bemessen, in welchem der Mensch und sein Handeln zu dem harmo-									
	nischen Ganzen steht, umsomehr verzwergt und entkleidet sich unser praktisches Ideal, bis									
	wir die Neigung zu der Frage verspüren, ob ein so vergängliches und bedeutungsloses									
	Ereignis in der allgemeinen Ordnung der Dinge, wie die Schicksale der Menschenrasse es									
	sind, die Sehnsucht und die Gefühle noch befriedigen kann, die groß geworden sind an dem									
	"Glauben an das Ewige und Gott."""									
										
	"Und S. 11: ""Das graue Elend als Massenerscheinung ist ver-"	nein								
	schwunden . . . Von wirklicher Not ist heute weniger zu spüren als vor 50 oder 100									
	"Jahren."" "									
										
	Übrigens haben wir bereits im 9. Kapitel (S. 235-240) gesehen, daß einer-	x	einen Regenbogen zu besteigen	der Versuch	x	x	x	x	A	
	seits die Rechenmanöver, die sich auf das Glück einer Gesellschaft beziehen,									
	mit ebenso unüberwindlichen Schwierigkeiten zu kämpfen haben wie der Ver-									
	such, einen Regenbogen zu besteigen, und daß andererseits von dem Aus-									
	sichtspunkt, den die Descendenztheorie gewährt, wahrnehmbar ist, daß Glücks-									
	empfindungen irgendwelcher Gruppe oder Summe von Personen nicht das									
	Ziel der inneren Politik sein können, sondern ausschließlich die Anpassung									
	an die Bedingungen, von denen für das Gemeinwesen der Sieg									
	im Daseinskampf abhängt.									
										
	Denn wir sind den Naturgesetzen untertan, und	nein								
	die fragen nicht nach unseren Wahnbegriffen.									
										
	Wer dem Volk solche Ratschläge erteilt, der rät ihm zu einem Schmerz-	nein								
	losen Selbstmord, und wer ihm die Mittel dazu in die Hand gibt, ist ihm									
	zum Selbstmord behilflich und macht sich objektiv — bei aller philanthro-									
	pischen Gesinnung — des größten Verbrechens schuldig. 									
										
	Der 'Präventivverkehr' zur Volks-	nein								
	sitte erhoben, würde die Quelle der nationalen Lebenskraft zu ver-									
	"schütten drohen . . . . """									
										
	Es ist klar, daß der Staat an einer möglichst starken Volksver-	nein								
	mehrung, soweit dadurch nicht die Lebenshaltung unter ein ungedeihliches									
	Maß herabgedrückt wird, ein hohes Interesse hat, nicht nur in mili-									
	tärischer, sondern auch in wirtschaftlicher Hinsicht. 									
										
	Zur Zeit sind bei uns die Unterschiede in der Lebens-	nein								
	haltung der verschiedenen Volksklassen noch im Wachsen begriffen, und da									
	diese Besitzklassen nicht durch unübersteigliche Klüfte voneinander getrennt									
	sind, so ist bei jeder — umsomehr, je höher sie schon steht und									
	je ehrgeiziger sie infolgedessen ist — das Bestreben darauf ge-									
	richtet, die nächst höhere Lebenshaltung zu erreichen und zwar									
	auf Kosten der Fortpflanzung, wenn es nicht anders sein kann.									
										
	Sie kann nicht zu weit gehen, denn die nötigen Schranken stellen	nein								
	sich von selbst ein.									
										
	Jedoch niemand, der mit Darwins Theorie im allgemeinen ein-	nein								
	verstanden ist, wird bezweifeln, daß nur die beständige Auslese, die unter									
	den höheren Lebensformen in der Natur sich stets vollzieht, sie zum Fort-									
	schreiten treibt und daß sie ohne diese Auslese rückwärts gehen würden.									
										
341-381										
	Wenn trotzdem die Völker, bei denen auch für die leitenden Personen nur	nein								
	die Monogamie rechtlich giltig war; im allgemeinen zu größerer Blüte									
	gelangten als jene, so ist das vielleicht auch durch die Tatsache zu erklären,									
	daß die Polygynie bei den Machthabern zum Übermaß neigt und ihnen —									
	und durch sie auch ihren Staaten — dann leicht zum Verderben gereicht.									
										
	"""Wir behaupten nicht, daß die Bildung der einzige Faktor sei, der die Geburten-"	nein								
	ziffer verkleinert; sie ist nur einer dieser Faktoren, der, verbunden mit materieller Bequem-									
	lichkeit, mit weniger lebhaften und weniger wahmehmbaren religiösen Gefühlen und mit									
	dem heißen Wunsch, in materieller Beziehung auf einen höheren und besseren Fuß zu									
	kommen, solche intellektuelle und moralische Eigenschaften anhäuft, die für eine hohe Ge-									
	burtenziffer wenig günstig sind . . . . 									
										
	Im Mittelalter suchte man verheerende Volkskrankheiten durch Gebete,	nein								
	Bußübungen und Messen zu bekämpfen, und nur sehr langsam brach sich									
	die Auffassung Bahn, daß die Fürsorge für die Gesundheit der Völker eine									
	öffentliche Angelegenheit sei. 									
										
	Das eine ist eine wirtschaft-									
	liche, das andere eine biologische Unmöglichkeit. Der einzige Weg, der zu	x	reich an dornigen Schwierigkeiten	Schwierigkeiten	x	x	x	x	A	Weg voller Dornen ist eine Redewendung, dornige Schwierigkeiten ist kreativer, dennoch nur A
	nennenswerten Erfolgen führen könnte, wird nicht beliebt, da er noch nie									
	begangen und darum, nur darum, reich an dornigen Schwierigkeiten ist:									
										
	Gelegentlich werfen kleine Zeitungsnotizen kurze Schlaglichter auf dieses traurige	x	werfen kurze Schlaglichter	auf soziale Kapitel	x	x	x	x	A	anstatt Lichter, Schlaglichter
	soziale Kapitel. 									
										
	Da nun	nein								
	besonders der studierenden Jugend zu einem sehr großen, wahrscheinlich zum größeren Teil,									
	der kirchlichreligiöse Glaube offenbar nicht erhalten werden kann, und da auch die rein									
	moralische Begründung des Verbotes, sich schon vor der Ehe geschlechtlich zu betätigen,									
	unter der Voraussetzung, daß dadurch niemand geschädigt wird, auf allzuschwachen Füßen									
	steht, so bleibt nur übrig, der mannbar werdenden Jugend die Gefahr mit dem schicklichen									
	Ernst offen darzulegen. Diese Gefahr dürfte dadurch viel von ihrer Stärke verlieren,									
										
	Zwar wird in keiner Versammlung seitens der Vortragenden versäumt, darauf	nein								
	hinzuweisen, wie überaus häufig diese Krankheiten als stille Morgengabe									
	in die Ehe gebracht werden, und beredt pflegt all das Elend geschildert zu									
	werden, das daraus entspringt. 									
										
	Meine unverhohlene Miß-	nein								
	billigung, die mich schließlich veranlaßte, ihm die Tür zu weisen, hat ihn									
	von der Ausführung seines Vorsatzes nicht abgehalten. 									
										
	So treten sie ungeheilt in die Ehe, wobei sich mancher wohl an	nein								
	die abenteuerliche Hoffnung klammert, auf die eine oder andere Art die									
	Ansteckung seiner Frau vermeiden zu können, eine Hoffnung, die aber regel-									
	mäßig zunichte wird.									
										
	Alle anderen bedürfen in solchem Falle einer äußeren	nein								
	Instanz, die sich dem unheildrohenden Gang der Dinge hemmend									
	in den Weg stellt. 									
										
	Will also die neue Gesellschaft die Kenntnis von der großen Ver-	nein								
	breitung der Geschlechtskrankheiten popularisieren, so wird sie die Eltern									
	sich verlobender und heiratender Mädchen nicht der durch Zerstörung ihrer									
	Unkenntnis entfachten Unruhe hilflos überlassen dürfen.									
										
	Es wird erst einer Veredlung unseres etwas verkrüppelten Patriotismus,	nein								
	d. h. der Liebe zum angestammten Volk, bedürfen, ehe das öffentliche Ge-									
	wissen auch nach dieser Seite hin empfindlicher werden wird. 									
										
	Bis heute kann man allerdings das dickleibigste	nein								
	hygienische Kompendium oder Sammelwerk zur Hand nehmen, ohne darin									
	auch nur eine Andeutung von dem Bewußtsein entdecken zu können, daß									
	mindestens das Studium der menschlichen Zuchtwahlverhältnisse zu den Auf-									
	gaben einer Wissenschaft gehört, die sich mit der Vorbeugung der Krank-									
	heiten zu befassen hat.									
										
	Schwache sollte garnicht erst in die Gesellschaft kommen. Nicht ihre	x	Kriegsruf	Verhütung	x	x	x	x	B	
	"Besserung, sondern die Verhütung ihrer Existenz sollte der Kriegsruf sein."""									
										
	Doch wenn auch nur wenige Menschen die für manche Fortschritte	x	Wurzeln treiben	in den Gefühlsuntergrund	x	x	x	x	A	Wurzel ist keine richtige Metapher, Wurzel treiben und festigen nur A
	wünschenswerte Unabhängigkeit des Urteils von Gefühlen besitzen, so ist es		und sich festigen							
	doch nicht schwer, der Jugend, die noch keine anderen Anschauungen hat,									
	solche neue beizubringen, die dann Wurzeln in den Gefühlsuntergrund treiben									
	und sich da befestigen. Sie würde bei geeigneter Einwirkung Stammbäume									
	und Erbwerte bald schätzen lernen.									
										
	Betreffs der sittlichen Erziehung der Jugend ist darauf hinzuweisen,	nein								
	daß insbesondere das Zentrum und die Partei der Konservativen großes									
	Gewicht auf die religiöse Färbung der Erziehung legen. 									
										
	Statt vorwiegend auf die Selbstsucht zu appellieren und	x	Prüfstein	ihrer breiteten und starken Gemeinsinns	x	x	x	x	B	
	diese zu nähren, sollten die einflußreichen Sozialdemokraten ihre Ziele aus-									
	schließlich durch solche Argumente begründen, mit denen zu beweisen wäre,									
	daß durch die Verwirklichung ihrer Ziele das Gesamtinteresse gefördert									
	würde, und dies müßte auch für sie selbst unablässig den Prüfstein ihrer									
	breiteten und starken Gemeinsinns als Grundlage für die großen									
	Reformen, die sie erstrebt, wenn nicht diese, wie H. Spencer dargetan hat,									
	ganz andere Wirkungen nach sich ziehen sollen, als gedacht wird. 									
										
	Aber nicht nur hinsichtlich des Weges gehen die Anschauungen aus-	nein								
	einander, sondern noch mehr hinsichtlich der letzten Ideale, so sehr, daß es									
	zur Taktik unserer Sozialdemokratie geworden ist, dieses ungeklärte Terrain									
	soviel wie irgend möglich zu meiden. Das aber dürfte bei den Einsichtigeren									
	unter ihnen feststehen, daß Gleichheit des Einkommens, des Ansehens und									
	der Macht undiskutierbare Verzerrungen des Gleichheitsideales sind, welches									
	nur die Beseitigung antisozialer Begünstigungen verlangt, d. h.									
	solcher, die weder in angeborenen Anlagen, noch in persönlich er-									
	worbenen Vorteilen (erworben in einem, jedem unter denselben äußeren									
	Vorbedingungen offenstehenden Wettbewerb) bestehen.									
										
	Wenn									
	es für den Einzelnen kein Ziel des Aufstrebens, keine erreichbare höhere Stellung mehr	nein								
	gibt, so erlahmt alle Energie, versagt aller Wettbewerb; volle soziale Gleichheit wäre der									
	Tod der Gesellschaft. Wenn der Mensch keine Hoffnung mehr hat, seine Lage zu verbessern,									
	"so verdrängt Mutlosigkeit und Indolenz alles Streben."""									
										
	Auch	nein								
	unter der (praktisch unannehmbaren) Voraussetzung allgemein gleichen Ein-									
	kommens und gleicher Rechte würden z. B. immer noch die geschlechtliche									
	Liebe und das Bedürfnis nach Anerkennung bei den Lebensgenossen als									
	mächtige Sporen für die Betätigung der gegebenen Kräfte übrig bleiben.									
										
	"""Kein Zweifel"", schreibt Alb. Schaeffle 1), vorausschickend,"	nein								
	"daß Demokratisierung nicht notwendig Republikanisierung sei, ""die"									
	"Zukunft gehört der Demokratie, in der alten Welt wie in der neuen"","									
	Und Kidd 2) sagt:									
	"""Die geschichtliche Tatsache unserer Zeit, die alle anderen in"									
	den Schatten stellt, ist das Kommen der Demokratie . . . . Die									
	da glauben, durch sie werde statt Ordnung ein Chaos kommen,									
	erfassen die Natur seiner Stärke nicht . . . .									
	und Befürchtungen betreffs der Zukunft der auftretenden Demokratie,									
	die sich auf Vergleiche mit der Vergangenheit gründen, sind un-									
	"zulässig und wertlos . . . ."""									
										
	Ferner wurde ausgeführt, daß der Rückgang	nein								
	der generativen Werte die Aufwärtsbewegung der Kultur zwar nicht sofort									
	aufzuhalten vermag, mit der Zeit aber notwendig auch zu deren Stillstand		Stillstand und Sinken 	Kultur						
	und Sinken führen muß, da die Kulturhöhe innerhalb gewisser Grenzen von									
	der Höhe der generativen Entwicklung abhängig ist. 									
										
	Der Staatsmann, dessen Sinn nicht bloß auf Augenblickserfolge ge-	nein								
	richtet, und dessen Gesichtskreis durch das Licht der Descendenztheorie erhellt									
	und erweitert wäre, würde erkennen, daß die Zukunft seines Volkes von der									
	guten Verwaltung seines generativen Besitzes abhängt, und daß jede Politik,									
	möge ihr Ergebnis zunächst noch so glänzend sein, eine schlechte Politik ist,									
	wenn sie, wie z. B. die Napoleons I. sowie aller nach Kriegsruhm oder									
	entbehrlicher Kriegsbeute strebender Staatslenker, mit einer Mißwirtschaft auf									
	dem Gebiet der generativen Werte verbunden ist. 									
										
	Eine viel spätere Zeit wird dann vielleicht auf Grund der neuen An-	nein								
	schauungen und Wertungen eine neue ethische Theorie anerkennen, deren									
	höchstes Gebot sein wird, die von den Vorfahren geliehenen Erb- und									
	Traditionswerte den Nachfahren mit Zinsen abzufragen.									
